,pIC50
151,7.045757490560675
152,7.552841968657781
153,6.045757490560675
154,7.522878745280337
155,6.42021640338319
156,8.221848749616356
157,6.853871964321762
158,6.7447274948966935
159,7.267606240177032
160,8.096910013008056
161,5.0
162,6.795880017344075
163,5.4156687756324695
164,6.267606240177032
165,8.154901959985743
166,7.221848749616356
167,5.573488738635425
168,8.346787486224656
169,5.245651664288981
170,7.494850021680094
171,7.102372908709558
172,7.962573502059376
173,7.655607726314889
174,6.79317412396815
175,7.501689446210399
176,7.860120913598763
177,7.38933983691012
178,5.962573502059376
179,7.161780778092374
181,8.63264407897398
182,7.6777807052660805
183,8.0268721464003
184,5.004803708402821
185,6.481486060122113
186,7.246416941107094
187,6.785156151952302
188,8.346787486224656
190,8.744727494896694
191,7.074172425375258
192,7.619788758288394
193,5.455931955649724
194,6.636388020107856
196,5.826813731587726
197,4.385841290490825
198,5.448550002027125
199,7.374687549038326
200,6.129011186239425
201,5.958607314841775
202,6.1487416512809245
203,6.341988603342887
204,6.211124884224583
205,6.853871964321762
206,6.920818753952375
207,6.474955192963154
208,7.376750709602099
209,6.721246399047171
210,6.443697499232712
211,7.00436480540245
212,7.130768280269024
213,5.008330992620051
214,7.107905397309519
215,6.367542707815276
216,6.181774106386045
217,6.327902142064283
218,5.2032869367191035
219,5.585026652029182
220,6.217527375833714
221,6.575118363368933
222,7.4089353929735005
223,7.180456064458132
224,6.721246399047171
225,6.504455662453552
226,5.950781977329818
227,6.823908740944319
228,5.0
229,5.0
230,5.0
231,5.0
232,5.0
233,5.522878745280337
234,5.0
235,5.0
236,5.0
237,5.0
238,5.886056647693163
239,5.522878745280337
240,5.0
241,5.0
242,6.0
243,5.0
244,5.0
245,5.0
246,5.982966660701219
247,5.0
248,5.0
249,5.0
250,5.732828271596986
251,5.0
252,6.481486060122113
253,5.0
254,5.0
255,5.0
256,5.0
257,5.0
258,5.0
259,5.0
260,5.402304814074488
261,5.0
262,6.0
263,5.0
264,5.0
265,5.0
266,5.0
267,4.0
268,7.638272163982407
269,6.823908740944319
270,6.638272163982407
271,7.823908740944319
272,4.0
273,6.721246399047171
274,7.494850021680094
275,4.494850021680094
276,6.508638306165727
277,7.443697499232712
278,4.154901959985743
279,4.522878745280337
280,4.7447274948966935
281,4.698970004336019
282,5.221848749616356
283,4.6020599913279625
284,4.301029995663981
285,4.301029995663981
286,5.481486060122113
287,8.823908740944319
288,5.221848749616356
289,4.221848749616356
290,4.096910013008056
292,4.522878745280337
293,7.026872146400302
294,4.958607314841775
295,6.657577319177793
296,8.275724130399212
297,5.356547323513812
298,9.086186147616283
299,8.275724130399212
300,4.958607314841775
301,4.522878745280337
302,5.0
303,4.154901959985743
304,8.522878745280337
305,6.795880017344075
306,4.522878745280337
307,8.0
308,8.050609993355087
309,6.318758762624412
310,6.7447274948966935
311,8.113509274827518
312,5.096910013008056
313,5.920818753952375
314,5.5376020021010435
316,9.045757490560675
317,8.3767507096021
318,8.075720713938118
319,5.221848749616356
320,4.0
321,6.657992070982661
322,6.031517051446065
323,6.853871964321762
324,9.097018600202498
325,5.823908740944319
326,6.49499933607313
327,7.823908740944319
328,6.105130343254747
329,7.301029995663981
330,8.027010773144651
331,7.698970004336019
332,7.26003230324049
333,8.0
334,7.853871964321762
335,7.107905397309519
336,6.678008252452735
337,6.467997690417565
338,8.08097423541264
